epoch_list,train_loss,validation_loss,train_time,validation_time
0,9172.207785866474,3648.2917431640617,179.39938402175903,89.79792475700378
1,2678.0358572295227,1837.5667529296873,491.14202213287354,87.79233646392822
2,1054.9497397066366,1366.592532958985,796.1335062980652,89.87078380584717
